pair_ID,sentence_A,sentence_B,relatedness_score,entailment_judgment
3414,A woman is carefully deboning a fish,A woman is deboning a fish,4.6,ENTAILMENT
3416,A woman is carefully deboning a fish,A man is catching a fish,1.4,NEUTRAL
3418,The man is catching a fish,A woman is deboning a fish,2.1,NEUTRAL
3422,A man is playing a harp,The man is playing a harp,5,ENTAILMENT
3424,A man is playing a harp,A man is harping on about a play,2.2,NEUTRAL
3426,A man is packing a violin,A man is playing a violin,3.6,NEUTRAL
3427,A man is playing a harp,A violin is being played by a man,2.7,NEUTRAL
3428,A man is packing a violin,A man is playing a harp,2.8,NEUTRAL
3429,The man is playing a harp,A man is playing a violin,3.1,NEUTRAL
3432,A man is playing a violin,A man is playing a harp,3.8,NEUTRAL
3435,A person is wiping butter on a tray,A person is spreading butter on a tray,4.1,ENTAILMENT
3436,A person is wiping butter on a tray,A person is removing the butter from a tray,3.6,NEUTRAL
3437,A person is buttering a tray,A person is spreading butter on a tray,4.9,ENTAILMENT
3438,A person is removing the butter from a tray,A person is buttering a tray,3.9,NEUTRAL
3440,A person is wiping butter on a tray,There is no person buttering a tray,3.9,CONTRADICTION
3443,A woman is receiving volleyballs,A woman is serving volleyballs over a net,4.1,NEUTRAL
3444,A woman is being handed volleyballs by another woman,One woman is handing volleyballs to another woman,5,ENTAILMENT
3448,One woman is handing volleyballs to another woman,A woman is throwing volleyballs over a net,4,NEUTRAL
3451,One man is chopping a log with an axe,A man is chopping a log with an axe,4.9,ENTAILMENT
3452,A man is chopping a log with an axe,There is no man chopping a log with an axe,3.3,CONTRADICTION
3453,The man is chopping the trunk of a tree with an axe,The man is chopping a tree trunk with an axe,4.9,ENTAILMENT
3454,The man is not chopping a tree trunk with an axe,The man is chopping a tree trunk with an axe,3.9,CONTRADICTION
3461,There is no man playing a guitar,A man is playing a guitar,2.8,CONTRADICTION
3462,A man is strumming a guitar,A man is playing a guitar,4.5,ENTAILMENT
3465,A man is putting away a guitar,A man is playing a guitar,3.6,NEUTRAL
3467,A man is playing a guitar,There is no man playing a guitar,4.285,CONTRADICTION
3471,The man is thinking,A man is thinking,5,ENTAILMENT
3472,A man is thinking,There is no man thinking,3.5,CONTRADICTION
3479,A man is thinking,A man is dancing,2.6,NEUTRAL
3480,"A cat with a white coat, perched on a small wooden cabinet, is looking outside the window",A white cat perched on a small wooden cabinet is looking outside the window,4.8,ENTAILMENT
3484,The cat perched on the table isn't looking out the window,The cat perched on the table is looking out the window,3.7,CONTRADICTION
3486,A white cat perched on a small wooden cabinet is looking outside the window,The cat perched on the table is looking curiously out the window,4,ENTAILMENT
3487,A white cat perched on a small wooden cabinet is looking outside the window,The cat perched on the table isn't looking out the window,3,NEUTRAL
3488,A white cat perched on a small wooden cabinet is looking outside the window,The cat is looking out the window at the table on the perch,3.8,ENTAILMENT
3491,The cat perched on the table is looking out the window,Someone on a perch is looking at a small wooden cat that is on a white cabinet outside the window ,2.9,NEUTRAL
3492,A white cat perched on a small wooden cabinet is looking outside the window,The cat perched on the table is looking out the window,4,NEUTRAL
3494,There is no dog licking a baby,A dog is licking a baby,3.75,CONTRADICTION
3496,A dog is walking away from a baby,A dog is licking a baby,3.1,NEUTRAL
3500,A dog is licking a baby,A baby is licking a dog,3,NEUTRAL
3504,A woman is slicing garlic,A woman is chopping up garlic,4.4,ENTAILMENT
3507,The woman is not dicing garlic,The woman is dicing garlic,3,CONTRADICTION
3508,A woman is chopping up garlic,Garlic is being diced by the woman,4.8,ENTAILMENT
3510,The woman is dicing garlic,A woman is slicing garlic,4.6,ENTAILMENT
3511,A woman is putting away the garlic,The woman is dicing garlic,3.6,NEUTRAL
3512,A woman is chopping up garlic,The woman is dicing garlic,4.8,ENTAILMENT
3514,A woman is dancing,There is no woman dancing,2.9,CONTRADICTION
3516,The man is not dancing,The man is dancing,3.9,CONTRADICTION
3517,The man is wildly dancing,A woman is dancing,3,NEUTRAL
3528,The person is not writing with a pencil,A person is writing,3.4,NEUTRAL
3529,The writing is about a person penciling,A person is writing,2.9,NEUTRAL
3530,The person is writing with a pencil,The person is writing,4.8,ENTAILMENT
3533,Somebody is boiling okra in a pot,Someone is boiling okra in a pot,4.8,ENTAILMENT
3534,Someone is taking the okra out of a pot,Someone is boiling okra in a pot,3.8,NEUTRAL
3537,Nobody is cooking okra in a pan,Someone is cooking okra in a pan,3.7,CONTRADICTION
3538,Someone is boiling okra in a pot,Okra is being cooked in a pan,4.1,NEUTRAL
3539,Nobody is cooking okra in a pan,Someone is boiling okra in a pot,2.6,NEUTRAL
3541,Someone is taking the okra out of a pot,Someone is cooking okra in a pan,4.1,NEUTRAL
3542,Someone is being boiled with okra in a pot,Someone is cooking okra in a pan,3,NEUTRAL
3543,Someone is boiling okra in a pot,Someone is cooking okra in a pan,4,NEUTRAL
3544,The man is dancing,A man is dancing,4.9,ENTAILMENT
3547,A man is speaking,There is no man speaking,3.9,CONTRADICTION
3548,A man is talking,A man is dancing,2.7,NEUTRAL
3549,There is no man speaking,A man is dancing,2.1,NEUTRAL
3552,A man is dancing,A man is speaking,1.9,NEUTRAL
3554,A squirrel is spinning around in circles,There is no squirrel spinning around in circles,4.2,CONTRADICTION
3556,A squirrel is lying down,A squirrel is running around in circles,2.9,CONTRADICTION
3561,A squirrel is crazily spinning around in circles,A squirrel is running around in circles,4.45,ENTAILMENT
3565,Paper is being cut with scissors,There is no paper being cut with scissors,3.7,CONTRADICTION
3566,Paper is being cut with scissors,Paper and scissors both cut,3.085,NEUTRAL
3567,The piece of paper is being cut,Some paper is being cut,4.6,ENTAILMENT
3568,The piece of paper is not being cut,The piece of paper is being cut,4,CONTRADICTION
3569,Some paper is being cut,Paper is being cut with scissors,4.9,ENTAILMENT
3571,Someone is cutting some paper with scissors,The piece of paper is being cut,4.5,ENTAILMENT
3572,The piece of paper is being cut,There is no paper being cut with scissors,4.2,NEUTRAL
3574,Paper is being cut with scissors,The piece of paper is being cut,4.4,ENTAILMENT
3576,A man is putting down the flute,A man is playing a flute,3.9,NEUTRAL
3577,The man is skillfully playing the guitar,The man is playing a guitar,4.5,ENTAILMENT
3579,The man is skillfully playing the guitar,A man is playing a flute,3.2,NEUTRAL
3580,A man is playing a flute,The man is not playing the guitar,3.1,ENTAILMENT
3582,A man is putting down the flute,The man is playing a guitar,2.5,NEUTRAL
3584,A man is playing the drums,The drums are being played by a man,4.9,ENTAILMENT
3589,A man is playing the drums,A man is disassembling the drum,3.385,NEUTRAL
3592,A man is playing the drums,A man is playing the drum,4.8,ENTAILMENT
3602,The man is doing floor exercises,A man is lazing,2.3,NEUTRAL
3603,The man is doing floor exercises,A man is doing exercises,4.3,ENTAILMENT
3607,A monkey is riding a bike,There is no monkey riding a bike,3,CONTRADICTION
3611,A bike is being ridden over a monkey,A man is riding a bicycle,3.4,NEUTRAL
3614,A monkey is riding a bike,A man is riding a bicycle,2.6,NEUTRAL
3618,Some fish are swimming,The fish are immobile,3.1,NEUTRAL
3620,The fish are immobile,A fish is swimming,3.8,CONTRADICTION
3623,Some fish are swimming,A fish is swimming,4.3,ENTAILMENT
3624,A woman is clumsily putting meat in a pan,A woman is putting meat in a pan,4.5,ENTAILMENT
3627,The meat is being dropped into a pan,The meat is not being dropped into a pan,3.2,CONTRADICTION
3629,A woman is putting meat in a pan,Someone is dropping the meat into a pan,4.6,ENTAILMENT
3630,A woman is putting meat in a pan,The meat is not being dropped into a pan,3.5,NEUTRAL
3633,The meat is being dropped into a pan,There is no woman putting meat in a pan,3.8,NEUTRAL
3635,A man is holding a frog,A person is holding a frog,4.7,ENTAILMENT
3638,The woman is handling a frog,The woman is not handling a frog,3.6,CONTRADICTION
3639,A man is holding a frog,A frog is being handled by the woman,3.5,NEUTRAL
3640,The woman is not handling a frog,A man is holding a frog,3.6,NEUTRAL
3643,A man is holding a frog,The woman is handling a frog,3.5,NEUTRAL
3646,Four young men are standing still and a car is exploding behind them,Four young men are exploding and a car is standing still behind them,2.9,NEUTRAL
3647,"The boys are standing in front of the car, which is burning",The boys are standing in front of the burning car,5,ENTAILMENT
3649,The boys are standing in front of the burning car,The boys are standing and burning a car,3.7,NEUTRAL
3650,"The boys are standing in front of the car, which is burning",Four young men are standing still and a car is exploding behind them,4,NEUTRAL
3651,Four young men are standing still and a car is exploding behind them,The boys are not standing in front of the burning car,2.9,NEUTRAL
3653,The boys are standing in front of the burning car,Some young men are standing still and a car is exploding behind them,3.7,NEUTRAL
3658,There is no boy filling a pitcher with water,A boy is filling a pitcher with water,3.5,CONTRADICTION
3666,A man and a woman are walking nicely,A man and a woman are walking,4.9,ENTAILMENT
3668,A man is strolling in the rain,A man is walking in the rain,5,ENTAILMENT
3669,There is no man walking in the rain,A man is walking in the rain,3.5,CONTRADICTION
3672,A man and a woman are walking,There is no man walking in the rain,2.7,NEUTRAL
3673,A man and a woman are walking,It is raining on a walking man,2.5,NEUTRAL
3682,Men are running a race,Some racers are running down a track,3.9,NEUTRAL
3684,Runners are racing down a track,Men are running a race,3.9,NEUTRAL
3685,Some men are running a race,Racers are running down a track,3.8,NEUTRAL
3686,Racers are running down a track,Some men are resting,1.3,NEUTRAL
3687,Men are running a race,Racers are running down a track,3.9,NEUTRAL
3689,The men are packing suitcases into the trunk of a car,The men are not packing suitcases into the trunk of a car,4.4,CONTRADICTION
3690,The men are packing suitcases into the trunk of a car,The men are in the suitcases that are being packed in the trunk of a car,3.9,NEUTRAL
3691,The men are carefully putting suitcases into the trunk of a car,The men are putting suitcases into the trunk of a car,4.6,ENTAILMENT
3692,The men are not putting suitcases into the trunk of a car ,The men are putting suitcases into the trunk of a car,3.6,CONTRADICTION
3693,The men are carefully putting suitcases into the trunk of a car,The men are packing suitcases into the trunk of a car,4.5,ENTAILMENT
3694,The men are not putting suitcases into the trunk of a car ,The men are packing suitcases into the trunk of a car,3.1,CONTRADICTION
3695,The men are putting suitcases into the trunk of a car,The men are placing suitcases in the trunk of a car,4.9,ENTAILMENT
3696,The men are putting suitcases into the trunk of a car,The men are not packing suitcases into the trunk of a car,4,CONTRADICTION
3697,The men are in the suitcases that are being packed in the trunk of a car,The men are putting suitcases into the trunk of a car,2.7,NEUTRAL
3699,A woman is putting on eyeshadow,Eyeshadow is being put on by a woman,5,ENTAILMENT
3701,A woman is putting make-up on,The woman is putting make-up on,4.8,ENTAILMENT
3702,A woman is putting make-up on,The woman is removing make-up,2.915,CONTRADICTION
3703,A woman is putting on eyeshadow,The woman is putting make-up on,4.3,ENTAILMENT
3705,Eyeshadow is being put on by a woman,A woman is putting make-up on,4.2,ENTAILMENT
3707,A woman is putting on eyeshadow,A woman is putting make-up on,4.5,ENTAILMENT
3708,A toy train is violently striking a toy car,A toy train is striking a toy car,4.5,ENTAILMENT
3710,A toy train is striking a toy car,A toy train is hitting a toy car,4.8,ENTAILMENT
3713,A toy train is striking a toy car,A toy train is hitting a toy car,4.9,ENTAILMENT
